"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-09-30",,,"0.00","0.0","0.0","81","50","69"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-10-01",,,"0.00","0.0","0.0","76","47","47"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-10-02",,,"0.00","0.0","0.0","71","41","48"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-10-03",,,"0.00","0.0","0.0","67","38","57"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-10-04",,,"0.01","0.0","0.0","66","51","55"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-10-05",,,"0.02","0.0","0.0","61","53","59"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-10-06",,,"0.10","0.0","0.0","65","49","50"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-10-07",,,"0.15","0.0","0.0","71","40","55"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-10-08",,,"2.59","0.0","0.0","61","45","45"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-10-09",,,"0.00","0.0","0.0","53","38","39"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-10-10",,,"0.00","0.0","0.0","52","34","36"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-10-11",,,"0.10","0.0","0.0","48","35","45"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-10-12",,,"0.06","0.0","0.0","56","45","51"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-10-13",,,"0.08","0.0","0.0","51","44","44"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-10-14",,,"0.02","0.0","0.0","50","42","46"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-10-15",,,"0.00","0.0","0.0","55","43","43"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-10-16",,,"0.07","0.0","0.0","63","40","45"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-10-17",,,"0.01","0.0","0.0","55","35","36"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-10-18",,,"0.00","0.0","0.0","67","34","54"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-10-19",,,"0.00","0.0","0.0","75","52","61"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-10-20",,,"0.00","0.0","0.0","79","58","62"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-10-21",,,"0.33","0.0","0.0","69","59","59"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-10-22",,,"0.07","0.0","0.0","59","42","42"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-10-23",,,"0.00","0.0","0.0","51","39","40"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-10-24",,,"0.00","0.0","0.0","69","36","55"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-10-25",,,"0.02","0.0","0.0","64","47","49"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-10-26",,,"0.03","0.0","0.0","58","40","44"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-10-27",,,"0.00","0.0","0.0","62","37","46"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-10-28",,,"0.02","0.0","0.0","69","45","61"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-10-29",,,"1.53","0.0","0.0","63","46","46"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-10-30",,,"0.00","0.0","0.0","52","39","40"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-10-31",,,"0.00","0.0","0.0","68","37","50"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-11-01",,,"0.00","0.0","0.0","76","46","55"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-11-02",,,"0.00","0.0","0.0","70","42","45"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-11-03",,,"0.00","0.0","0.0","66","38","52"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-11-04",,,"0.00","0.0","0.0","70","44","44"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-11-05",,,"0.00","0.0","0.0","76","39","58"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-11-06",,,"0.00","0.0","0.0","79","56","62"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-11-07",,,"0.00","0.0","0.0","80","59","59"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-11-08",,,"0.00","0.0","0.0","74","53","54"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-11-09",,,"0.14","0.0","0.0","72","54","58"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-11-10",,,"0.00","0.0","0.0","63","49","51"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-11-11",,,"0.01","0.0","0.0","63","43","48"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-11-12",,,"0.00","0.0","0.0","67","46","57"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-11-13",,,"0.00","0.0","0.0","75","54","60"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-11-14",,,"0.00","0.0","0.0","60","49","49"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-11-15",,,"0.53","0.0","0.0","50","39","39"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-11-16",,,"0.21","0.0","0.0","40","35","36"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-11-17",,,"0.00","0.0","0.0","44","36","41"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-11-18",,,"0.00","0.0","0.0","55","31","36"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-11-19",,,"0.00","0.0","0.0","63","33","48"
